SchoolName,SchoolYear,School List,FT Male,NONFT Male,Total Male,FT Female,NonFT Female,Total Female,FT Other,NonFT Other,Total Other,FT People of Color,NonFT People of Color,Total People of Color,Total FT,Total NonFT,Total,FullTimeLibrarians,PartTimeLibrarians,TotalLibrarians,FTMale,FTFemale,FTAGI,FTPNR,FTPOC,FTTotal,NONFTMale,NONFTFemale,NONFTAGI,NONFTPNR,NONFTPOC,NONFTTotal,MaleTotal,FemaleTotal,AGITotal,PNRTotal,POCTotal,TotalFaculties,FTLibrarians,PTLibrarians
,2022,"IOWA, UNIVERSITY OF",25.0,28.0,53.0,22.0,17.0,39.0,0.0,0.0,0.0,8.0,8.0,16.0,47.0,45.0,92.0,11.0,0.0,11,,,,,,,,,,,,,,,,,,,,
,2022,"JACKSONVILLE UNIVERSITY, COLLEGE OF LAW",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,
,2022,"KANSAS, UNIVERSITY OF",15.0,31.0,46.0,16.0,13.0,29.0,0.0,0.0,0.0,4.0,6.0,10.0,31.0,44.0,75.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,"KENTUCKY, UNIVERSITY OF",17.0,16.0,33.0,12.0,21.0,33.0,0.0,0.0,0.0,3.0,3.0,6.0,29.0,37.0,66.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,LEWIS AND CLARK COLLEGE,21.0,58.0,79.0,19.0,36.0,55.0,0.0,0.0,0.0,6.0,19.0,25.0,40.0,94.0,134.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,LIBERTY UNIVERSITY,14.0,8.0,22.0,6.0,7.0,13.0,0.0,0.0,0.0,5.0,3.0,8.0,20.0,15.0,35.0,2.0,1.0,3,,,,,,,,,,,,,,,,,,,,
,2022,LINCOLN MEMORIAL,10.0,9.0,19.0,12.0,17.0,29.0,0.0,0.0,0.0,4.0,3.0,7.0,22.0,27.0,49.0,2.0,0.0,2,,,,,,,,,,,,,,,,,,,,
,2022,LOUISIANA STATE UNIVERSITY,20.0,39.0,59.0,19.0,23.0,42.0,0.0,0.0,0.0,5.0,9.0,14.0,39.0,62.0,101.0,8.0,0.0,8,,,,,,,,,,,,,,,,,,,,
,2022,"LOUISVILLE, UNIVERSITY OF",16.0,21.0,37.0,16.0,9.0,25.0,0.0,0.0,0.0,7.0,4.0,11.0,32.0,30.0,62.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,30.0,76.0,106.0,37.0,50.0,87.0,0.0,0.0,0.0,15.0,22.0,37.0,67.0,126.0,193.0,10.0,0.0,10,,,,,,,,,,,,,,,,,,,,
,2022,LOYOLA UNIVERSITY-CHICAGO,31.0,109.0,140.0,46.0,116.0,162.0,0.0,0.0,0.0,14.0,42.0,56.0,77.0,226.0,303.0,3.0,1.0,4,,,,,,,,,,,,,,,,,,,,
,2022,LOYOLA UNIVERSITY-NEW ORLEANS,21.0,37.0,58.0,19.0,15.0,34.0,0.0,0.0,0.0,13.0,7.0,20.0,40.0,52.0,92.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,"MAINE, UNIVERSITY OF",10.0,26.0,36.0,13.0,20.0,33.0,0.0,2.0,2.0,1.0,4.0,5.0,23.0,48.0,71.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,MARQUETTE UNIVERSITY,20.0,56.0,76.0,15.0,34.0,49.0,0.0,0.0,0.0,4.0,6.0,10.0,35.0,90.0,125.0,5.0,4.0,9,,,,,,,,,,,,,,,,,,,,
,2022,"MARYLAND, UNIVERSITY OF",29.0,74.0,103.0,31.0,48.0,79.0,0.0,0.0,0.0,17.0,21.0,38.0,60.0,122.0,182.0,9.0,1.0,10,,,,,,,,,,,,,,,,,,,,
,2022,MCGEORGE SCHOOL OF LAW,20.0,40.0,60.0,15.0,33.0,48.0,0.0,0.0,0.0,6.0,26.0,32.0,35.0,73.0,108.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,"MEMPHIS, UNIVERSITY OF",11.0,29.0,40.0,15.0,11.0,26.0,0.0,0.0,0.0,6.0,10.0,16.0,26.0,40.0,66.0,5.0,0.0,5,,,,,,,,,,,,,,,,,,,,
,2022,MERCER UNIVERSITY,15.0,29.0,44.0,11.0,16.0,27.0,0.0,0.0,0.0,4.0,3.0,7.0,26.0,45.0,71.0,5.0,0.0,5,,,,,,,,,,,,,,,,,,,,
,2022,"MIAMI, UNIVERSITY OF",42.0,204.0,246.0,50.0,85.0,135.0,0.0,0.0,0.0,25.0,70.0,95.0,92.0,289.0,381.0,8.0,3.0,11,,,,,,,,,,,,,,,,,,,,
