SchoolName,SchoolYear,School List,JD1 Transfers Out,Transfer In,75th Percentile JD1 GPA,GPA50thPercentile,GPA25thPercentile,TransferIn,50th Percentile JD1 GPA,25th Percentile JD1 GPA
"Florida, University of",2023,,1,,3.65,,,23.0,3.55,3.33
Fordham University,2023,,9,,3.49,,,14.0,3.44,3.3
George Mason University,2023,,6,,3.5,,,21.0,3.42,3.31
"George Washington University, The",2023,,43,,3.52,,,87.0,3.35,3.23
Georgetown University,2023,,11,,3.83,,,122.0,3.67,3.55
Georgia State University,2023,,0,,0.0,,,5.0,3.62,0.0
"Georgia, University of",2023,,0,,0.0,,,3.0,0.0,0.0
Golden Gate University,2023,,8,,0.0,,,0.0,0.0,0.0
Gonzaga University,2023,,6,,0.0,,,1.0,0.0,0.0
Harvard University,2023,,0,,3.97,,,52.0,3.93,3.83
"Hawaii, University of",2023,,1,,0.0,,,2.0,0.0,0.0
Hofstra University,2023,,7,,3.24,,,18.0,2.94,2.82
"Houston, University of",2023,,0,,3.65,,,16.0,3.51,3.39
Howard University,2023,,2,,0.0,,,1.0,0.0,0.0
"Idaho, University of",2023,,5,,0.0,,,1.0,0.0,0.0
"Illinois, University of",2023,,6,,0.0,,,0.0,0.0,0.0
"Illinois-Chicago, University of",2023,,2,,0.0,,,2.0,0.0,0.0
Indiana University-Bloomington,2023,,0,,0.0,,,1.0,0.0,0.0
Indiana University-Indianapolis,2023,,2,,0.0,,,2.0,0.0,0.0
Inter American University of Puerto Rico,2023,,0,,0.0,,,1.0,0.0,0.0
"Iowa, University of",2023,,3,,0.0,,,1.0,0.0,0.0
"Kansas, The University of",2023,,4,,0.0,,,3.0,0.0,0.0
"Kentucky, University of",2023,,3,,0.0,,,0.0,0.0,0.0
Lewis & Clark Law School,2023,,4,,0.0,,,7.0,3.33,0.0
Liberty University,2023,,1,,0.0,,,1.0,0.0,0.0
Lincoln Memorial University,2023,,2,,0.0,,,1.0,0.0,0.0
Louisiana State University,2023,,0,,0.0,,,3.0,0.0,0.0
"Louisville, University of",2023,,0,,0.0,,,2.0,0.0,0.0
Loyola Marymount University-Los Angeles,2023,,19,,3.23,,,20.0,3.11,2.97
Loyola University-Chicago,2023,,16,,0.0,,,0.0,0.0,0.0
Loyola University-New Orleans,2023,,6,,0.0,,,4.0,0.0,0.0
"Maine, University of",2023,,0,,0.0,,,1.0,0.0,0.0
Marquette University,2023,,2,,0.0,,,2.0,0.0,0.0
"Maryland, University of",2023,,19,,0.0,,,4.0,0.0,0.0
"Massachusetts/Dartmouth, University of",2023,,10,,0.0,,,1.0,0.0,0.0
"Memphis, The University of",2023,,1,,0.0,,,0.0,0.0,0.0
Mercer University,2023,,6,,0.0,,,0.0,0.0,0.0
"Miami, University of",2023,,16,,3.36,,,17.0,3.3,3.22
Michigan State University,2023,,5,,0.0,,,0.0,0.0,0.0
"Michigan, University of",2023,,2,,3.82,,,14.0,3.73,3.64
"Minnesota, University of",2023,,7,,0.0,,,4.0,0.0,0.0
Mississippi College,2023,,2,,0.0,,,0.0,0.0,0.0
"Mississippi, The University of",2023,,2,,0.0,,,5.0,3.13,0.0
"Missouri, University of",2023,,2,,0.0,,,4.0,0.0,0.0
"Missouri-Kansas City, University of",2023,,0,,0.0,,,0.0,0.0,0.0
Mitchell/Hamline School of Law,2023,,0,,0.0,,,2.0,0.0,0.0
"Montana, University of",2023,,4,,0.0,,,1.0,0.0,0.0
"Nebraska, University of",2023,,0,,0.0,,,1.0,0.0,0.0
"Nevada-Las Vegas, University of",2023,,5,,3.18,,,15.0,2.86,2.73
New England Law/Boston,2023,,4,,0.0,,,0.0,0.0,0.0
"New Hampshire, University of",2023,,8,,0.0,,,3.0,0.0,0.0
