SchoolName,SchoolYear,school list,Full Time Resident Semester,FTRS Annual Fees,Full Time Non resident Semester,FTNRS Annual Fees,Part Time Resident Semester,PTRS Annual Fees,Part Time Non resident Semester,PTNRS Annual Fees,Full Time Resident Credit,FTRSPerCredit Annual Fees,Full Time Non resident Credit,FTNRSPerCredit Annual Fees,Part Time Resident Credit,PTRSPerCredit Annual Fees,Part Time Non resident Credit,PTNRSPerCredit Annual Fees,Other Semester,Other Semester Annual Fees,Other Credit,Other Per Credit Annual Fees,Tuition Guarantee Program,Living On Campus,Living Off Campus,Living At Home,19-20 Entering scholarships,19-20 Reduced/Eliminated Scholarships,18-19 Entering scholarships,18-19 Reduced/Eliminated Scholarships,17-18 Entering scholarships,17-18 Reduced/Eliminated Scholarships,FT_Resident_Semester,FTRS_AnnualFees,FT_NonResident_Semester,FTNRS_AnnualFees,PT_Resident_Semester,PTRS_AnnualFees,PT_NonResident_Semester,PTNRS_AnnualFees,FT_Resident_Credit,FTRS_PerCredit_AnnualFees,FT_NonResident_Credit,FTRS_PerCredit_AnnualFees1,PT_Resident_Credit,PTRS_PerCredit_AnnualFees,PT_NonResident_Credit,PTNRS_PerCredit_AnnualFees,Others_Semesters,Others_Semesters_AnnualFees,Others_Credit,Others_PerCredit_AnnualFees,Tuition_Guarantee_Program,Living_On_Campus,Living_Off_Campus,Living_At_Home,OfferScholorships,EnteringScholarships_22_23,ReducedScholarships_22_23,EnteringScholarships_21_22,ReducedScholarships_21_22,EnteringScholarships_20_21,ReducedScholarships_20_21,EnteringScholarships_23_24,ReducedScholarships_23_24,FT_Resident_Annual,FT_NonResident_Annual,PT_Resident_Annual,PT_NonResident_Annual,Others_Annual,Others_Annual_AnnualFees,Living_At_Military,EnteringScholarships_24_25,ReducedScholarships_24_25
,2022,DISTRICT OF COLUMBIA,"12,438","1,000","24,874","1,000",0,0,0,0,0,0,0,0,422,"1,000",843,"1,000","18,656","1,000",631,"1,000",No,0,"29,200",0,70.0,32.0,43.0,13.0,35.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,DRAKE UNIVERSITY,"45,800",112,"45,800",112,0,0,0,0,0,0,0,0,"1,579",112,"1,579",112,0,0,0,0,No,"20,455","19,685","11,540",20.0,11.0,26.0,12.0,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,DREXEL UNIVERSITY,"50,700",875,"50,700",875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"28,042","29,954","15,392",30.0,9.0,63.0,16.0,75.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,DUKE UNIVERSITY,"71,100","1,532","71,100","1,532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,"25,519",0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,DUQUESNE UNIVERSITY,"52,332","1,084","52,332","1,084","40,218","1,084","40,218","1,084",0,0,0,0,0,0,0,0,0,0,0,0,No,"18,474","18,474","18,474",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,ELON UNIVERSITY,"40,833",0,"40,833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,"29,767","29,767",33.0,0.0,35.0,0.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,EMORY UNIVERSITY,"63,600",904,"63,600",904,0,0,0,0,"2,650",904,"2,650",904,0,0,0,0,0,0,0,0,No,"26,010","26,010","26,010",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,FAULKNER UNIVERSITY,"39,000",500,"39,000",500,0,0,0,0,0,0,0,0,"1,300",413,"1,300",413,0,0,0,0,No,0,"28,400","28,400",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,FLORIDA A&M UNIVERSITY,0,0,0,0,0,0,0,0,456,175,"1,098",175,456,175,"1,098",175,0,0,0,0,No,0,"29,162","17,526",1.0,0.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,FLORIDA INTERNATIONAL UNIVERSITY,0,0,0,0,0,0,0,0,691,399,"1,150",399,691,399,"1,150",399,0,0,0,0,Yes,"27,836","30,700","17,062",114.0,19.0,93.0,27.0,102.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
