School Name,SchoolYear,Graduate Year,No. of Graduates,No. of Takers,No. of Passers,%Passers,No. of Graduates with no information,No. of Graduates who did not take the bar,No. of Graduates with Alternative Pathways*,Pass % (including Alternative Pathways),2020 Graduates,2020 Takers,2020 Passers,2020 Graduates with no information,2020 Graduates who did not take the bar,2020 Graduates with Diploma Privilege*,Pass % (including Diploma Privilege),2021 Graduates,2021 Takers,2021 Passers,2021 Graduates with no information,2021 Graduates who did not take the bar,2021 Graduates with Alternative Pathways*,2022 Graduates,2022 Takers,2022 Passers,2022 Graduates with no information,2022 Graduates who did not take the bar,2022 Graduates with Alternative Pathways*
"Tulsa, The University of",2023,,,,,93.00%,,,,,104.0,100.0,93.0,0.0,4.0,0.0,93.00%,,,,,,,,,,,,
"Utah, The University of",2023,,,,,100.00%,,,,,92.0,20.0,20.0,0.0,72.0,69.0,100.00%,,,,,,,,,,,,
Vanderbilt University,2023,,,,,96.63%,,,,,182.0,178.0,172.0,4.0,0.0,0.0,96.63%,,,,,,,,,,,,
Vermont Law School,2023,,,,,76.61%,,,,,145.0,124.0,95.0,3.0,18.0,6.0,77.69%,,,,,,,,,,,,
Villanova University,2023,,,,,93.17%,,,,,171.0,161.0,150.0,7.0,3.0,0.0,93.17%,,,,,,,,,,,,
"Virginia, University of",2023,,,,,99.35%,,,,,313.0,309.0,307.0,0.0,4.0,2.0,99.36%,,,,,,,,,,,,
Wake Forest University,2023,,,,,97.10%,,,,,150.0,138.0,134.0,5.0,7.0,0.0,97.10%,,,,,,,,,,,,
Washburn University,2023,,,,,89.89%,,,,,93.0,89.0,80.0,0.0,4.0,0.0,89.89%,,,,,,,,,,,,
Washington and Lee University,2023,,,,,94.70%,,,,,154.0,151.0,143.0,3.0,0.0,0.0,94.70%,,,,,,,,,,,,
Washington University (St. Louis),2023,,,,,98.19%,,,,,237.0,221.0,217.0,1.0,15.0,3.0,98.21%,,,,,,,,,,,,
"Washington, University of",2023,,,,,90.70%,,,,,162.0,43.0,39.0,0.0,119.0,99.0,97.18%,,,,,,,,,,,,
Wayne State University,2023,,,,,95.62%,,,,,145.0,137.0,131.0,0.0,8.0,2.0,95.68%,,,,,,,,,,,,
West Virginia University,2023,,,,,90.20%,,,,,106.0,102.0,92.0,0.0,4.0,0.0,90.20%,,,,,,,,,,,,
Western New England University,2023,,,,,83.13%,,,,,88.0,83.0,69.0,0.0,5.0,1.0,83.33%,,,,,,,,,,,,
"Western State, Westcliff University",2023,,,,,77.01%,,,,,92.0,87.0,67.0,0.0,5.0,0.0,77.01%,,,,,,,,,,,,
Widener University Commonwealth Law School,2023,,,,,87.88%,,,,,101.0,99.0,87.0,2.0,0.0,0.0,87.88%,,,,,,,,,,,,
Widener University Delaware Law School,2023,,,,,84.56%,,,,,155.0,149.0,126.0,0.0,6.0,0.0,84.56%,,,,,,,,,,,,
Willamette University,2023,,,,,91.67%,,,,,108.0,24.0,22.0,0.0,84.0,80.0,98.08%,,,,,,,,,,,,
William & Mary,2023,,,,,97.71%,,,,,182.0,175.0,171.0,6.0,1.0,1.0,97.73%,,,,,,,,,,,,
"Wisconsin, University of",2023,,,,,75.00%,,,,,147.0,4.0,3.0,0.0,143.0,142.0,99.32%,,,,,,,,,,,,
"Wyoming, University of",2023,,,,,95.08%,,,,,62.0,61.0,58.0,0.0,1.0,0.0,95.08%,,,,,,,,,,,,
Yale University,2023,,,,,98.96%,,,,,203.0,193.0,191.0,0.0,10.0,0.0,98.96%,,,,,,,,,,,,
*Alternative Pathways refers to graduates who secure non-temporary licensure without sitting for a bar exam.,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, The University of",2024,,,,,85.47%,,,,85.47%,,,,,,,,126.0,117.0,100.0,0.0,9.0,0.0,,,,,,
"Alabama, The University of",2024,,,,,94.50%,,,,94.50%,,,,,,,,118.0,109.0,103.0,1.0,8.0,0.0,,,,,,
Albany Law School,2024,,,,,90.20%,,,,90.20%,,,,,,,,158.0,153.0,138.0,3.0,2.0,0.0,,,,,,
American University,2024,,,,,92.71%,,,,92.71%,,,,,,,,408.0,384.0,356.0,3.0,21.0,,,,,,,
Appalachian School of Law,2024,,,,,84.31%,,,,84.31%,,,,,,,,53.0,51.0,43.0,0.0,2.0,0.0,,,,,,
Arizona State University,2024,,,,,95.82%,,,,95.82%,,,,,,,,267.0,263.0,252.0,2.0,2.0,0.0,,,,,,
"Arizona, The University of",2024,,,,,84.92%,,,,84.92%,,,,,,,,129.0,126.0,107.0,0.0,3.0,0.0,,,,,,
"Arkansas at Little Rock, University of",2024,,,,,89.08%,,,,89.08%,,,,,,,,127.0,119.0,106.0,0.0,8.0,0.0,,,,,,
"Arkansas, University of",2024,,,,,91.84%,,,,91.84%,,,,,,,,108.0,98.0,90.0,2.0,8.0,0.0,,,,,,
Atlanta's John Marshall Law School,2024,,,,,85.94%,,,,85.94%,,,,,,,,73.0,64.0,55.0,3.0,6.0,0.0,,,,,,
Ave Maria School of Law,2024,,,,,81.16%,,,,81.16%,,,,,,,,74.0,69.0,56.0,0.0,5.0,0.0,,,,,,
"Baltimore, University of",2024,,,,,83.24%,,,,83.24%,,,,,,,,204.0,185.0,154.0,0.0,19.0,0.0,,,,,,
Barry University,2024,,,,,75.00%,,,,75.00%,,,,,,,,183.0,168.0,126.0,5.0,10.0,0.0,,,,,,
Baylor University,2024,,,,,96.11%,,,,96.11%,,,,,,,,180.0,180.0,173.0,0.0,0.0,0.0,,,,,,
Belmont University,2024,,,,,95.65%,,,,95.65%,,,,,,,,92.0,92.0,88.0,0.0,0.0,0.0,,,,,,
Boston College,2024,,,,,98.18%,,,,98.18%,,,,,,,,227.0,220.0,216.0,3.0,4.0,0.0,,,,,,
Boston University,2024,,,,,98.16%,,,,98.16%,,,,,,,,281.0,272.0,267.0,0.0,9.0,,,,,,,
Brigham Young University,2024,,,,,99.01%,,,,99.01%,,,,,,,,102.0,101.0,100.0,0.0,1.0,0.0,,,,,,
Brooklyn Law School,2024,,,,,89.88%,,,,89.88%,,,,,,,,355.0,346.0,311.0,3.0,6.0,0.0,,,,,,
"Buffalo, University at",2024,,,,,86.67%,,,,86.67%,,,,,,,,138.0,135.0,117.0,0.0,3.0,0.0,,,,,,
California Western School of Law,2024,,,,,82.30%,,,,82.30%,,,,,,,,217.0,209.0,172.0,0.0,8.0,0.0,,,,,,
"California-Berkeley, University of",2024,,,,,99.07%,,,,99.07%,,,,,,,,328.0,322.0,319.0,2.0,4.0,0.0,,,,,,
"California-Davis, University of",2024,,,,,92.35%,,,,92.35%,,,,,,,,202.0,196.0,181.0,2.0,4.0,0.0,,,,,,
"California-Irvine, University of",2024,,,,,95.15%,,,,95.15%,,,,,,,,214.0,206.0,196.0,0.0,8.0,0.0,,,,,,
"California-Los Angeles, University of",2024,,,,,96.41%,,,,96.41%,,,,,,,,341.0,334.0,322.0,7.0,0.0,0.0,,,,,,
"California-San Francisco, University of",2024,,,,,93.95%,,,,93.95%,,,,,,,,288.0,281.0,264.0,0.0,7.0,0.0,,,,,,
Campbell University,2024,,,,,95.54%,,,,95.54%,,,,,,,,157.0,157.0,150.0,0.0,0.0,0.0,,,,,,
Capital University Law School,2024,,,,,92.17%,,,,92.17%,,,,,,,,124.0,115.0,106.0,2.0,7.0,0.0,,,,,,
"Cardozo, Yeshiva University",2024,,,,,91.29%,,,,91.29%,,,,,,,,324.0,310.0,283.0,3.0,11.0,0.0,,,,,,
Case Western Reserve University,2024,,,,,88.36%,,,,88.36%,,,,,,,,153.0,146.0,129.0,4.0,3.0,0.0,,,,,,
"Catholic University of America, The",2024,,,,,86.84%,,,,86.84%,,,,,,,,117.0,114.0,99.0,1.0,2.0,0.0,,,,,,
Chapman University,2024,,,,,83.94%,,,,83.94%,,,,,,,,137.0,137.0,115.0,0.0,0.0,0.0,,,,,,
Charleston School of Law,2024,,,,,76.74%,,,,76.74%,,,,,,,,180.0,172.0,132.0,5.0,3.0,0.0,,,,,,
"Chicago, The University of",2024,,,,,99.52%,,,,99.52%,,,,,,,,213.0,209.0,208.0,0.0,4.0,0.0,,,,,,
"Chicago-Kent, Illinois Institute of Technology",2024,,,,,90.57%,,,,90.57%,,,,,,,,232.0,212.0,192.0,19.0,1.0,0.0,,,,,,
"Cincinnati, University of",2024,,,,,92.24%,,,,92.24%,,,,,,,,124.0,116.0,107.0,6.0,2.0,0.0,,,,,,
"City University of New York, University of",2024,,,,,90.27%,,,,90.27%,,,,,,,,188.0,185.0,167.0,3.0,0.0,0.0,,,,,,
Cleveland State University,2024,,,,,91.38%,,,,91.38%,,,,,,,,124.0,116.0,106.0,0.0,8.0,0.0,,,,,,
"Colorado, University of",2024,,,,,92.68%,,,,92.68%,,,,,,,,170.0,164.0,152.0,0.0,6.0,0.0,,,,,,
Columbia University,2024,,,,,96.67%,,,,96.67%,,,,,,,,462.0,450.0,435.0,6.0,6.0,0.0,,,,,,
"Connecticut, University of",2024,,,,,89.17%,,,,89.17%,,,,,,,,136.0,120.0,107.0,16.0,0.0,0.0,,,,,,
Cooley Law School,2024,,,,,55.87%,,,,55.87%,,,,,,,,429.0,392.0,219.0,0.0,37.0,0.0,,,,,,
Cornell University,2024,,,,,94.21%,,,,94.21%,,,,,,,,194.0,190.0,179.0,2.0,2.0,0.0,,,,,,
Creighton University,2024,,,,,88.24%,,,,88.24%,,,,,,,,105.0,102.0,90.0,0.0,3.0,0.0,,,,,,
"Dayton, University of",2024,,,,,77.97%,,,,77.97%,,,,,,,,65.0,59.0,46.0,0.0,6.0,0.0,,,,,,
